SAT.Earth.ECC;SAT.ElapsedSecs;SAT.EarthMJ2000Eq.RA;SAT.Earth.TA;SAT.EarthMJ2000Eq.RAAN;SAT.EarthMJ2000Eq.INC;SAT.EarthMJ2000Eq.AOP;SAT.EarthICRF.AOP;SAT.EarthICRF.INC;SAT.EarthICRF.RAAN;SAT.EarthICRF.RA;
0.15002106;16944.99847;-136.2013107;188.2196506;34.40087602;4.997960874;1.213387936;1.213526761;4.997956284;34.4007378;-136.2013105;
0.150033233;17118.40937;-130.69179;193.7703145;34.40052291;4.99782102;1.191720769;1.191859597;4.99781643;34.40038468;-130.6917897;
0.150051035;17291.18908;-125.1557758;199.3452007;34.3997873;4.997622408;1.170766993;1.170905827;4.997617819;34.39964906;-125.1557755;
0.150074494;17462.91785;-119.5885373;204.9482567;34.39853369;4.997370259;1.150780688;1.150919529;4.99736567;34.39839544;-119.5885369;
0.15010366;17633.18479;-113.9858959;210.5829426;34.3966348;4.997071799;1.132015666;1.132154517;4.997067211;34.39649654;-113.9858953;
0.150138608;17801.60289;-108.3440563;216.2524197;34.39397578;4.996736252;1.11472554;1.114864403;4.996731664;34.39383752;-108.3440556;
0.150179429;17967.81388;-102.6597474;221.9594274;34.39045908;4.996374771;1.099164802;1.099303678;4.996370184;34.3903208;-102.6597466;
0.15022622;18131.49628;-96.93021896;227.7063023;34.38600964;4.99600029;1.085589103;1.085727993;4.995995704;34.38587135;-96.9302181;
0.15027907;18292.36616;-91.1534554;233.4947772;34.3805806;4.995627268;1.074255456;1.074394361;4.995622683;34.3804423;-91.15345444;
0.150338033;18450.18514;-85.32808452;239.3260834;34.37415865;4.995271287;1.065420682;1.065559602;4.995266704;34.37402033;-85.32808347;
0.150403107;18604.76067;-79.45350217;245.2008308;34.36676907;4.994948515;1.059339066;1.059478002;4.994943933;34.36663073;-79.45350106;
0.150474199;18755.95041;-73.52978381;251.1190982;34.35847941;4.994675003;1.056257993;1.056396944;4.994670423;34.35834106;-73.52978266;
0.150551089;18903.66275;-67.5576628;257.0804502;34.34940146;4.99446586;1.056411967;1.056550932;4.994461282;34.3492631;-67.55766164;
0.150633396;19047.8523;-61.53864852;263.0838087;34.33969098;4.994334329;1.060014659;1.060153635;4.994329753;34.3395526;-61.53864736;
0.150720547;19188.52263;-55.47479436;269.1276695;34.32954393;4.994290806;1.067249374;1.067388361;4.994286233;34.32940554;-55.47479323;
0.150811756;19325.71964;-49.36878789;275.2099911;34.31918988;4.994341917;1.078258636;1.078397631;4.994337346;34.31905148;-49.36878682;
0.150906009;19459.52823;-43.22387436;281.3282449;34.30888165;4.99448971;1.093133874;1.093272873;4.994485141;34.30874325;-43.22387336;
0.151002073;19590.06789;-37.04379833;287.4794433;34.29888205;4.994731082;1.111906529;1.112045532;4.994726515;34.29874365;-37.04379743;
0.151098516;19717.49279;-30.83249776;293.6604097;34.28944786;4.995057544;1.13454277;1.134681771;4.99505298;34.28930946;-30.83249696;
0.151193746;19841.98203;-24.59426226;299.8675853;34.28081363;4.995455352;1.160940447;1.161079445;4.995450789;34.28067523;-24.59426159;
0.151286054;19963.73311;-18.33376955;306.0969569;34.27317552;4.995906038;1.190929631;1.191068623;4.995901477;34.27303713;-18.333769;
